min_latency,p50_latency,p99_latency,p999_latency,rpc_rate,set_rpc_rate
5062,5320,5973,9654,285814,600000
5050,5279,5942,9534,604674,600000
5050,5280,5895,8447,622832,600000
5049,5281,5877,8455,622192,600000
5049,5282,5880,9361,621589,600000
5023,5284,5886,9334,621951,600000
5023,5282,5880,8608,622102,600000
5023,5282,5889,9007,620884,600000
5023,5281,5871,8491,621635,600000
5023,5283,5889,8400,621043,600000
5023,5283,5890,8118,621900,600000
5023,5352,5975,9803,620932,600000
5023,5352,5978,8865,622586,600000
5023,5352,5964,8414,620680,600000
5023,5353,5973,8308,620817,600000
5023,5351,5960,8466,620728,600000
5023,5353,5965,8200,621828,600000
5023,5352,5987,8721,620974,600000
5023,5352,5961,8857,620872,600000
